"We were not able to add to cart items that you had saved previously, because both current and previous cart contain gifts.","Wir waren nicht in der Lage, Artikel in den Warenkorb zu legen, die Sie zuvor gespeichert hatten, da sowohl der aktuelle als auch der vorherige Warenkorb Geschenke enthalten."
"Promotional item cannot be edited","Werbeartikel kann nicht bearbeitet werden"
"Quantity of promotional item cannot be increased.","Die Menge des Werbeartikels kann nicht erhöht werden."
"SKU in cart","SKU im Warenkorb"
"Subtotal including tax","Zwischensumme inklusive Steuer"
"Add a gift","Ein Geschenk hinzufügen"
"Add a gift once","Einmal ein Geschenk hinzufügen"
"Gift SKUs","Geschenk-SKUs"
"Gift SKUs discounts","Geschenk SKUs Rabatte"
"Gift SKUs QTYs","Geschenk SKUs Mengen"
"Percentage discounts for gifts, separated by commas. If blank, a 100% discount will be used.","Prozentuale Rabatte für Geschenke, getrennt durch Kommata. Wenn leer, wird ein 100%-iger Rabatt verwendet."
